species,exotic
Abudefduf.saxatilis,TRUE
Anthias.anthias,FALSE
Apogon.imberbis,FALSE
Atherina.boyeri,FALSE
Atherina.spp,NA
Balistes.capriscus,FALSE
Belone.belone,FALSE
Belonidae,NA
Boops.boops,FALSE
Caranx.crysos,FALSE
Cheilodipterus.novemstriatus,TRUE
Chelon.labrosus,FALSE
Chromis.chromis,FALSE
Clupeidae,NA
Conger.conger,FALSE
Coris.julis,FALSE
Ctenolabrus.rupestris,FALSE
Dactylopterus.volitans,FALSE
Dasyatis.pastinaca,FALSE
Dentex.dentex,FALSE
Dicentrarchus.labrax,FALSE
Dicentrarchus.punctatus,FALSE
Diplodus.annularis,FALSE
Diplodus.cervinus,FALSE
Diplodus.puntazzo,FALSE
Diplodus.sargus,FALSE
Diplodus.vulgaris,FALSE
Epinephelus.aeneus,FALSE
Epinephelus.caninus,FALSE
Epinephelus.costae,FALSE
Epinephelus.marginatus,FALSE
Euthynnus.alletteratus,FALSE
Fistularia.commersonii,TRUE
Gobius.auratus,FALSE
Gobius.bucchichi,FALSE
Gobius.cobitis,FALSE
Gobius.cruentatus,FALSE
Gobius.geniporus,FALSE
Gobius.paganellus,FALSE
Gobius.vittatus,FALSE
Gobius.xanthocephalus,FALSE
Herklotsichthys.punctatus,TRUE
Labridae,NA
Labrus.merula,FALSE
Labrus.mixtus,FALSE
Labrus.viridis,FALSE
Lagocephalus.sceleratus,TRUE
Lichia.amia,FALSE
Lithognathus.mormyrus,FALSE
Liza.aurata,FALSE
Mugil.cephalus,FALSE
Mullus.barbatus,FALSE
Mullus.surmuletus,FALSE
Muraena.helena,FALSE
Mycteroperca.rubra,FALSE
Myliobatis.aquila,FALSE
Oblada.melanura,FALSE
Oedalechilus.labeo,FALSE
Pagellus.acarne,FALSE
Pagrus.caeruleostictus,FALSE
Pagrus.pagrus,FALSE
Parablennius.gattorugine,FALSE
Parablennius.incognitus,FALSE
Parablennius.pilicornis,FALSE
Parablennius.rouxi,FALSE
Parablennius.sanguinolentus,FALSE
Parablennius.tentacularis,FALSE
Parablennius.zvonimiri,FALSE
Parupeneus.forsskali,TRUE
Pempheris.vanicolensis,TRUE
Phycis.phycis,FALSE
Plotosus.lineatus,TRUE
Pomadasys.incisus,FALSE
Pomatomus.saltatrix,FALSE
Pomatoschistus.quagga,FALSE
Pseudocaranx.dentex,FALSE
Pteragogus.pelycus,TRUE
Pterois.miles,TRUE
Sardina.pilchardus,FALSE
Sargocentron.rubrum,TRUE
Sarpa.salpa,FALSE
Scartella.cristata,FALSE
Scarus.ghobban,TRUE
Sciaena.umbra,FALSE
Scorpaena.maderensis,FALSE
Scorpaena.notata,FALSE
Scorpaena.porcus,FALSE
Scorpaena.scrofa,FALSE
Seriola.dumerili,FALSE
Serranus.cabrilla,FALSE
Serranus.hepatus,FALSE
Serranus.scriba,FALSE
Siganus.luridus,TRUE
Siganus.rivulatus,TRUE
Sparisoma.cretense,FALSE
Sparus.aurata,FALSE
Sphyraena.chrysotaenia,TRUE
Sphyraena.sphyraena,FALSE
Sphyraena.viridensis,FALSE
Spicara.maena,FALSE
Spicara.smaris,FALSE
Spondyliosoma.cantharus,FALSE
Stephanolepis.diaspros,TRUE
Symphodus.cinereus,FALSE
Symphodus.doderleini,FALSE
Symphodus.mediterraneus,FALSE
Symphodus.melanocercus,FALSE
Symphodus.ocellatus,FALSE
Symphodus.roissali,FALSE
Symphodus.rostratus,FALSE
Symphodus.spp,NA
Symphodus.tinca,FALSE
Synodus.saurus,FALSE
Taeniura.grabata,FALSE
Thalassoma.pavo,FALSE
Torquigener.flavimaculosus,TRUE
Trachinotus.ovatus,FALSE
Trachinus.draco,FALSE
Trachurus.mediterraneus,FALSE
Tripterygion.delaisi,FALSE
Tripterygion.melanurus,FALSE
Tripterygion.tripteronotus,FALSE
Trisopterus.minutus,FALSE
