species,FoodTroph,FoodSeTroph
Atherina.boyeri,3.22,0.36
Coris.julis,3.240000009536743,0.4291
Diplodus.annularis,3.21,0.43
Diplodus.puntazzo,3.07,0.39
Diplodus.sargus,3.24,0.46
Labrus.merula,3.45,0.44
Mugil.cephalus,2.48,0.17
Sarpa.salpa,2.14,0.14
Serranus.scriba,3.58,0.52
Thalassoma.pavo,3.5,0.47
Serranus.cabrilla,3.68,0.61
Symphodus.roissali,3.47,0.44
Symphodus.tinca,3.2300000190734863,0.4242
Chromis.chromis,3.38,0.41
Labrus.viridis,3.52,0.52
Oblada.melanura,3.38,0.35
Apogon.imberbis,3.35,0.61
Epinephelus.marginatus,4.08,0.8
Seriola.dumerili,4.06,0.62
Symphodus.melanocercus,NA,NA
Muraena.helena,4.18,0.61
Sciaena.umbra,3.83,0.63
Mullus.surmuletus,3.46,0.48
Tripterygion.melanurus,3.5,0.37
Sparus.aurata,3.39,0.49
Symphodus.rostratus,3.46,0.51
Parablennius.rouxi,2.77,0.2
Parablennius.zvonimiri,NA,NA
Dentex.dentex,4.5,0.6
Dicentrarchus.labrax,3.47,0.5
Epinephelus.costae,3.87,0.61
Diplodus.vulgaris,3.34,0.45
Gobius.bucchichi,3.1,0.4
Gobius.paganellus,3.299999952316284,0.4531
Phycis.phycis,3.91,0.85
Symphodus.mediterraneus,3.1500000953674316,0.3718
Tripterygion.tripteronotus,NA,NA
Tripterygion.delaisi,3.39,0.44
Scorpaena.porcus,3.78,0.83
Parablennius.sanguinolentus,2,0
Parablennius.gattorugine,2.72,0.24
Gobius.cruentatus,3.53,0.48
Scorpaena.notata,3.44,0.47
Spicara.maena,3.5,0.45
Symphodus.ocellatus,3.3399999141693115,0.41759999999999997
Spondyliosoma.cantharus,3.27,0.47
Boops.boops,3.11,0.23
Labrus.mixtus,3.91,0.62
Sphyraena.viridensis,4.25,0.68
Symphodus.cinereus,3.3,0.42
Oedalechilus.labeo,NA,NA
Sparisoma.cretense,2.86,0.27
Scorpaena.maderensis,4.07,0.71
Sphyraena.sphyraena,4.04,0.51
Dactylopterus.volitans,3.68,0.58
Parablennius.pilicornis,3.22,0.4
Caranx.crysos,3.63,0.45
Scorpaena.scrofa,3.95,0.61
Belone.belone,4.5,0.8
Fistularia.commersonii,4.34,0.91
Scartella.cristata,3.24,0.38
Siganus.luridus,2.1700000762939453,0.1038
Symphodus.doderleini,3.36,0.43
Parablennius.incognitus,2.68,0.37
Trachinotus.ovatus,3.73,0.58
Mycteroperca.rubra,4.13,0.58
Siganus.rivulatus,2,0
Sargocentron.rubrum,3.71,0.59
Gobius.cobitis,2.97,0.39
Spicara.smaris,3.1600000858306885,0.289
Gobius.xanthocephalus,NA,NA
Gobius.geniporus,3.33,0.39
Trisopterus.minutus,3.67,0.78
Gobius.vittatus,2.94,0.24
Pagellus.acarne,3.74,0.6
Ctenolabrus.rupestris,3.5,0.49
Conger.conger,4.26,0.76
Diplodus.cervinus,2.99,0.37
Chelon.labrosus,2.59,0.32
Pteragogus.pelycus,NA,NA
Liza.aurata,NA,NA
Dasyatis.pastinaca,4.05,0.63
Epinephelus.caninus,3.77,0.55
Anthias.anthias,3.75,0.58
Pagrus.pagrus,3.55,0.51
Pomatomus.saltatrix,4.08,0.0113
Lithognathus.mormyrus,3.42,0.5
Pomatoschistus.quagga,3.285,0.53
Synodus.saurus,4.32,0.77
Gobius.auratus,2.96,0.35
Balistes.capriscus,3.45,0.4
Pempheris.vanicolensis,3.45,0.47
Taeniura.grabata,4.02,0.67
Pomadasys.incisus,3.8,0.52
Stephanolepis.diaspros,NA,NA
Scarus.ghobban,2,0
Parupeneus.forsskali,3.5,0.37
Plotosus.lineatus,3.09,0.39
Torquigener.flavimaculosus,NA,NA
Lagocephalus.sceleratus,3.73,0.62
Cheilodipterus.novemstriatus,NA,NA
Serranus.hepatus,3.74,0.62
Pseudocaranx.dentex,3.66,0.5
Sphyraena.chrysotaenia,NA,NA
Dicentrarchus.punctatus,3.94,0.65
Epinephelus.aeneus,4.02,0.59
Sardina.pilchardus,2.94,0.21
Abudefduf.saxatilis,2.76,0.32
Herklotsichthys.punctatus,NA,NA
Lichia.amia,4.32,0.77
Myliobatis.aquila,3.61,0.54
Trachurus.mediterraneus,3.369999885559082,0.43
Mullus.barbatus,3.24,0.44
Pagrus.caeruleostictus,3.66,0.54
Parablennius.tentacularis,3.18,0.3
Pterois.miles,NA,NA
Euthynnus.alletteratus,3.98,0.6
Trachinus.draco,4.18,0.71
